# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  126       4.693281825459e-10       1.481385181299e-13      -5.350667893936e-12       7.191424313820e-16       6.055304185586e-12       9.073829464570e-13      -5.543612164294e-15 
  127       4.738923011787e-10       1.489834307330e-13      -5.417014640071e-12       7.309126179568e-16       5.926600002100e-12       8.921511309083e-13      -5.484336735217e-15 
  128       4.784585410780e-10       1.497640379876e-13      -5.481440331819e-12       7.427977633629e-16       5.801460581041e-12       8.773192615978e-13      -5.427120557128e-15 
  129       4.830257952486e-10       1.504795312452e-13      -5.543875518621e-12       7.547987475409e-16       5.679827202974e-12       8.628776290397e-13      -5.371646851476e-15 
  130       4.875928792117e-10       1.511291633102e-13      -5.604251238501e-12       7.669164665892e-16       5.561621092902e-12       8.488139402384e-13      -5.317569473624e-15 
  131       4.921585290350e-10       1.517122501162e-13      -5.662499055475e-12       7.791518328804e-16       5.446742896376e-12       8.351132519563e-13      -5.264512264199e-15 
  132       4.967213993625e-10       1.522281724020e-13      -5.718551096958e-12       7.915057751781e-16       5.335072155605e-12       8.217579039818e-13      -5.212068400432e-15 
  133       5.012800614445e-10       1.526763773874e-13      -5.772340091180e-12       8.039792387534e-16       5.226466785567e-12       8.087274523966e-13      -5.159799747506e-15 
  134       5.058330011673e-10       1.530563804501e-13      -5.823799404591e-12       8.165731855016e-16       5.120762550116e-12       7.959986028439e-13      -5.107236209903e-15 
  135       5.103786170836e-10       1.533677668012e-13      -5.872863079271e-12       8.292885940588e-16       5.017772538098e-12       7.835451437961e-13      -5.053875082747e-15 
  136       5.149152184419e-10       1.536101931615e-13      -5.919465870345e-12       8.421264599185e-16       4.917286639457e-12       7.713378798225e-13      -4.999180403152e-15 
  137       5.194411685718e-10       1.537834133342e-13      -5.963543969650e-12       8.550877283881e-16       4.819116369794e-12       7.593508583409e-13      -4.942695647781e-15 
  138       5.239553359545e-10       1.538873543605e-13      -6.005037182098e-12       8.681730853827e-16       4.723235687974e-12       7.475809183427e-13      -4.884396360349e-15 
  139       5.284566863105e-10       1.539220514594e-13      -6.043887046499e-12       8.813831451032e-16       4.629653824729e-12       7.360300474439e-13      -4.824372953718e-15 
  140       5.329441403951e-10       1.538876266488e-13      -6.080036210890e-12       8.947185149470e-16       4.538371007809e-12       7.246992433691e-13      -4.762720707870e-15 
  141       5.374165729506e-10       1.537842905736e-13      -6.113428474292e-12       9.081797951984e-16       4.449378225924e-12       7.135884871654e-13      -4.699539840672e-15 
  142       5.418728116593e-10       1.536123443333e-13      -6.144008828485e-12       9.217675787192e-16       4.362656992693e-12       7.026967164157e-13      -4.634935578664e-15 
  143       5.463116360953e-10       1.533721813099e-13      -6.171723499764e-12       9.354824506384e-16       4.278179110590e-12       6.920217984529e-13      -4.569018227826e-15 
  144       5.507317766778e-10       1.530642889959e-13      -6.196519990714e-12       9.493249880433e-16       4.195906434887e-12       6.815605035734e-13      -4.501903244355e-15 
  145       5.551319136231e-10       1.526892508218e-13      -6.218347121968e-12       9.632957596693e-16       4.115790637602e-12       6.713084782507e-13      -4.433711305446e-15 
  146       5.595106758974e-10       1.522477479842e-13      -6.237155073978e-12       9.773953255904e-16       4.037772971444e-12       6.612602183494e-13      -4.364568380061e-15 
  147       5.638666401690e-10       1.517405612732e-13      -6.252895428778e-12       9.916242369096e-16       3.961784033756e-12       6.514090423387e-13      -4.294605799708e-15 
  148       5.681983297613e-10       1.511685729009e-13      -6.265521211753e-12       1.005983035449e-15       3.887743530468e-12       6.417470645062e-13      -4.223960329217e-15 
  149       5.725042136048e-10       1.505327683283e-13      -6.274986933400e-12       1.020472253441e-15       3.815560040032e-12       6.322651681717e-13      -4.152774237515e-15 
  150       5.767827051900e-10       1.498342380940e-13      -6.281248631097e-12       1.035092413216e-15       3.745130777379e-12       6.229529789008e-13      -4.081195368401e-15 
  151       5.810321615198e-10       1.490741796414e-13      -6.284263910869e-12       1.049844026898e-15       3.676341357856e-12       6.137988377188e-13      -4.009377211323e-15 
  152       5.852508820619e-10       1.482538991469e-13      -6.283991989153e-12       1.064727596089e-15       3.609065561175e-12       6.047897743240e-13      -3.937478972152e-15 
  153       5.894372270505e-10       1.473747884491e-13      -6.280393860341e-12       1.079743581681e-15       3.543191563813e-12       5.959146747310e-13      -3.865646848547e-15 
  154       5.935899869673e-10       1.464382495780e-13      -6.273432729045e-12       1.094892310781e-15       3.478703876256e-12       5.871741718274e-13      -3.793955748948e-15 
  155       5.977080455612e-10       1.454457666646e-13      -6.263073697824e-12       1.110174060504e-15       3.415608606149e-12       5.785716272247e-13      -3.722462266839e-15 
  156       6.017902631503e-10       1.443989318949e-13      -6.249283687070e-12       1.125589086619e-15       3.353907573839e-12       5.701100090130e-13      -3.651222964619e-15 
  157       6.058354761818e-10       1.432994472112e-13      -6.232031477412e-12       1.141137623088e-15       3.293598211117e-12       5.617918812437e-13      -3.580294348648e-15 
